paper_id,title,authors,year,venue,doi,abstract,keywords,source_db,export_file,is_preprint,version_group_id
1e3fa81caa8c,From portfolio optimization to quantum blockchain and security: a systematic review of quantum computing in finance,Abhay S. Naik; Esra Yeniaras; Gerhard Hellstern; Grishma Prasad; Sanjay Vishwakarma,2025,Financial Innovation,10.1186/s40854-025-00751-6,"The rapid advancement of quantum computing has sparked a considerable increase in research attention to quantum technologies. These advances span fundamental theoretical inquiries into quantum information and the exploration of diverse applications arising from this evolving quantum computing paradigm. The scope of the related research is notably diverse. This paper consolidates and presents quantum computing research related to the financial sector. The finance applications considered in this study include portfolio optimization, fraud detection, and Monte Carlo methods for derivative pricing and risk calculation. In addition, we provide a comprehensive analysis of quantum computing’s applications and effects on blockchain technologies, particularly in relation to cryptocurrencies, which are central to financial technology research. As discussed in this study, quantum computing applications in finance are based on fundamental quantum physics principles and key quantum algorithms. This review aims to bridge the research gap between quantum computing and finance. We adopt a two-fold methodology, involving an analysis of quantum algorithms, followed by a discussion of their applications in specific financial contexts. Our study is based on an extensive review of online academic databases, search tools, online journal repositories, and whitepapers from 1952 to 2023, including CiteSeerX, DBLP, ResearchGate, Semantic Scholar, and scientific conference publications. We present state-of-the-art findings at the intersection of finance and quantum technology and highlight open research questions that will be valuable for industry practitioners and academicians as they shape future research agendas.",Computer Science; Business; Physics,semantic_scholar,api_search_semantic_scholar.json,0,
5d0b65cd054b,Quantum Finance: Exploring the Implications of Quantum Computing on Financial Models,Jiawei Zhou,2025,Computational Economics,10.1007/s10614-025-10894-4,,Computer Science; Economics; Physics,semantic_scholar,api_search_semantic_scholar.json,0,
324dfeb78602,"Comprehensive Review of Quantum Computing Applications in Finance: Derivative Pricing, Risk Management, and Portfolio Optimization",Cem Fotocan,2025,Next Generation Journal for The Young Researchers,10.62802/dnf08z38,"Quantum computing has emerged as a transformative computational paradigm, offering novel capabilities to tackle complex problems in finance—most notably in derivative pricing, risk management, and portfolio optimization. This review synthesizes recent advances in quantum algorithms and hybrid quantum–classical frameworks as applied to financial services, examining how technologies such as quantum-annealing, quantum amplitude estimation, and variational quantum circuits can improve efficiency, accuracy, and scalability over classical methods. The study provides a systematic assessment of key use-cases: (1) derivative pricing and greeks computation via quantum Monte Carlo and amplitude estimation; (2) risk management enhancements, including Value-at-Risk (VaR) and conditional VaR through quantum gradient estimation; and (3) portfolio optimization via QUBO (quadratic unconstrained binary optimization) mapping, the Quantum Approximate Optimization Algorithm (QAOA) and quantum annealing approaches. In addition to reviewing technological potential, the paper addresses critical barriers—hardware noise, coherence limitations, data integration, regulatory considerations—and outlines future research directions, including quantum-resilient cryptography in finance and industry coupling. By bringing together algorithmic, financial and regulatory perspectives, this review seeks to guide academics and practitioners toward the next frontier in financial computing.",Computer Science; Physics; Business,semantic_scholar,api_search_semantic_scholar.json,0,
0dd941cd4045,Quantum Computing and Cybersecurity in Accounting and Finance: Current and the Future Challenges and Opportunities for Securing Accounting and Finance Systems,Huma Habib Shadan; Sardar Islam,2025,arXiv.org,10.48550/arXiv.2506.12096,"Quantum computing is transforming the world profoundly, affecting businesses, organisations, technologies, and human beings'information systems, and will have a profound impact on accounting and finance, particularly in the realm of cybersecurity. It presents both opportunities and risks in ensuring confidentiality and protecting financial data. The purpose of this article is to show the application of quantum technologies in accounting cybersecurity, utilising quantum algorithms and QKD to overcome the limitations of classical computing. The literature review reveals the vulnerabilities of the current accounting cybersecurity to quantum attacks and the need for quantum-resistant cryptographic mechanisms. It elaborates on the risks associated with conventional encryption in the context of quantum capabilities. This study contributes to the understanding of how quantum computing can transform accounting cybersecurity by enhancing quantum-resistant algorithms and using QKD in accounting. The study employs PSALSAR systematic review methodology to ensure rigour and depth. The analysis shows that quantum computing enhances encryption techniques to superior possibilities than classical ones. Using quantum technologies in accounting minimises data breaches and unauthorised access. The study concludes that quantum-resistant algorithms and quantum key distribution (QKD) are necessary for securing the accounting and finance systems of the future. Keywords Quantum Computing, Cybersecurity, Accounting, Machine Learning, Artificial Intelligence, Quantum Key Distribution, Operations Management",Computer Science; Computer Science; Business,semantic_scholar,api_search_semantic_scholar.json,1,
0030bd185e0d,"AI-Augmented Quantitative Finance: A Multi-Methodological Framework Combining Machine Learning, Deep Learning, and Quantum Computing for Predictive Risk Modeling",Murali Krishna Pasupuleti,2025,International Journal of Academic and Industrial Research Innovations(IJAIRI),10.62311/nesx/rp-4-aug-2025,"Abstract:
The increasing complexity and volatility of global financial markets highlight the limitations of traditional risk modeling frameworks, which often rely on linear assumptions and fail to capture nonlinear dependencies and systemic shocks. This study proposes an augmented multi-methodological framework that integrates machine learning, deep learning, and quantum computing to advance predictive risk modeling in quantitative finance. Conceptually, the framework builds upon existing AI-based approaches while introducing quantum-enhanced algorithms to address computational bottlenecks in optimization and simulation. The research problem is defined by the absence of a comprehensive, hybrid framework capable of balancing predictive accuracy, scalability, and interpretability in high-dimensional financial environments.
The methodology combines machine learning for feature engineering, deep learning for modeling nonlinear temporal dynamics, and quantum computing for accelerating high-dimensional optimization tasks. Empirical testing against structured and unstructured financial datasets demonstrates that the augmented framework significantly outperforms classical econometric models and standalone AI approaches in predictive accuracy and robustness, particularly under crisis conditions. The results further indicate reductions in computational time through quantum-enhanced optimization, without sacrificing model interpretability.
The study contributes to theory by extending the scope of quantitative finance into hybrid computational paradigms, and to practice by offering actionable insights for financial institutions, regulators, and policymakers. The implications suggest that multi-methodological convergence represents a critical pathway toward resilient and adaptive financial systems in the digital era.
Keywords
Augmented quantitative finance, predictive risk modeling, machine learning, deep learning, quantum computing, systemic risk, financial forecasting, portfolio optimization, computational finance, hybrid modeling frameworks",Computer Science; Physics,semantic_scholar,api_search_semantic_scholar.json,0,
d8be486c8ce6,Quantum Computing and Cybersecurity in Accounting and Finance in the Post-Quantum World: Challenges and Opportunities for Securing Accounting and Finance Systems,Huma Habib Shadan; Sardar Islam,2025,FinTech,10.3390/fintech4040052,"Quantum technology is significantly transforming businesses, organisations, and information systems. It will have a significant impact on accounting and finance, particularly in the context of cybersecurity. It presents both opportunities and risks in maintaining confidentiality and protecting financial data. This study aims to demonstrate the application of quantum technologies in accounting cybersecurity, utilising quantum algorithms and QKD to overcome the limitations of classical computing. The literature review emphasises the vulnerabilities of current accounting cybersecurity to quantum attacks and highlights the necessity for quantum-resistant cryptographic mechanisms. It discusses the risks related to traditional encryption methods within the context of quantum capabilities. This research enhances understanding of how quantum computing can revolutionise accounting cybersecurity by advancing quantum-resistant algorithms and implementing QKD in accounting systems. This study employs the PSALSAR systematic review methodology to ensure thoroughness and rigour. The analysis shows that quantum computing pushes encryption techniques beyond classical limits. Using quantum technologies in accounting reduces data breaches and unauthorised access. This study concludes that quantum-resistant algorithms and quantum key distribution (QKD) are crucial for securing the future of accounting and finance systems.",Computer Science; Business,semantic_scholar,api_search_semantic_scholar.json,0,
17229c637aaf,Cross-Disciplinary Integration of Quantum Computing in Economics and Finance,Cem Fotocan,2025,Next Generation Journal for The Young Researchers,10.62802/zar9yr94,"The convergence of quantum computing and economics represents a frontier in computational social science, promising to transform the modeling of uncertainty, complexity, and interdependence in financial and macroeconomic systems. This study explores how quantum computing methodologies—particularly quantum annealing, variational algorithms, and hybrid quantum–classical frameworks—can be integrated into Dynamic Stochastic General Equilibrium (DSGE) modeling, stochastic simulations, and systemic risk analytics. By focusing on collaborative university–industry partnerships, the paper examines mechanisms that accelerate translational research, facilitate scalable experimentation, and bridge theoretical quantum advances with applied financial modeling. The analysis highlights how quantum-enhanced algorithms can improve the tractability and precision of multidimensional optimization problems inherent in macroeconomic forecasting and risk estimation. It also emphasizes the institutional value of joint academic–industrial infrastructures in fostering data sharing, interdisciplinary education, and early adoption of post-classical computing in finance. The findings suggest that hybridized quantum frameworks can substantially advance decision sciences, enabling resilient and adaptive economic systems capable of responding to global shocks with greater computational foresight.",Economics; Computer Science; Physics,semantic_scholar,api_search_semantic_scholar.json,0,
a7b3e49448d1,A Comprehensive Review of the Convergence of Quantum Computing and Finance,Arnav Aggarwal; P. Shrivastava; Rajneesh Kler,2025,2025 2nd Global AI Summit - International Conference on Artificial Intelligence and Emerging Technology (AI Summit),10.1109/AISummit66170.2025.11411648,"QC is revolutionizing finance this outlines its capability in tackling complicate computations in risk management, portfolio allocation and cryptography. The paper aims to discuss and review the advances in applications of QC in finance focusing on issues and prospects on its developments. They are quantum algorithms for financial modeling and optimization, quantum cryptography and computing, quantum supervised and unsupervised machine learning. Further, this work explores the challenges owing to restricted hardware capabilities, the problem with the algorithms used, and restraining factors in the industry. In this paper, they discussed the road map of integration of QC into the financial sector and analyzed the generation of theoretical knowledge and practical application of the same in preparation of introducing a new continent of financial innovation.",Computer Science; Physics; Business; Economics,semantic_scholar,api_search_semantic_scholar.json,0,
f85bdc99d9eb,Quantum computing for finance,Dylan Herman; Cody Googin; Xiaoyuan Liu; Yue Sun; A. Galda; Ilya Safro; Marco Pistoia; Y. Alexeev,2023,Nature Reviews Physics,10.1038/s42254-023-00603-1,"Quantum computers are expected to surpass classical computers and transform industries. This Review focuses on quantum computing for financial applications and provides a summary for physicists on potential advantages and limitations of quantum techniques, as well as challenges that physicists could help tackle. Quantum algorithms for stochastic modelling, optimization and machine learning are applicable to various financial problems. Quantum Monte Carlo integration and gradient estimation can provide quadratic speedup over classical methods, but more work is required to reduce the amount of quantum resources for early fault-tolerant feasibility and achieving an actual speedup. Financial optimization problems can be continuous (convex or non-convex), discrete or mixed, and thus quantum algorithms for these problems can be applied. The advantages and challenges of quantum machine learning for classical problems are also apparent in finance. Quantum computers are expected to surpass the computational capabilities of classical computers and have a transformative impact on numerous industry sectors. We present a comprehensive summary of the state of the art of quantum computing for financial applications, with particular emphasis on stochastic modelling, optimization and machine learning. This Review is aimed at physicists, so it outlines the classical techniques used by the financial industry and discusses the potential advantages and limitations of quantum techniques. Finally, we look at the challenges that physicists could help tackle.",Physics; Physics; Computer Science; Business,semantic_scholar,api_search_semantic_scholar.json,0,
9866ca62fddf,Quantum Computing in Embedded Finance,CA Mohd Swaleh; Dr.N Subbu Krishna Sastry,2025,International Journal of Managerial Studies and Research,10.20431/2349-0349.1306001,,Computer Science; Business,semantic_scholar,api_search_semantic_scholar.json,0,
